,0
CCO/C=C/CCOCC,24
C=CCNCCCCCC,24
CN(CCO)CCCN,24
CCNCCCNC(C)=O,24
CCCNC(C)(C)C,24
CN(C)C[C@H](CN)N(C)C,24
CCC/N=C(\C)CCC,24
CCNN(CC)CCO,24
CN(C)CCCN(C)C=O,24
CCOCCCCOC,24
CCC(=O)OCC(C)(C)C,24
CCCCC(=O)OCCC,24
C=C(C/C=C/C)CN(C)C,24
C[C@H](CCCO)C(C)(C)C,24
CCOCCCCC(C)=O,24
CCO/C(C)=C\C(C)(C)C,24
COCCC(=O)C(C)(C)C,24
CCCCCC[C@H](C)ON,24
C=C(C)/C(=C/CCC)CC,24
C[C@H](CCO)CCN(C)C,24
CCCNC(=O)CCCN,24
COCCN(C)CCN,24
CCCC(=O)OC(C)(C)C,24
CN(C)[C@H](CO)C(C)(C)C,24
CCNCCN(C=O)CC,24
CCCCCCCCC#N,24
CCC1(CC)CCCCC1,24
CC/C=C(\C)CN(C)C,24
CC1(C)CCC(C)(C)CC1,24
CCCCCCOCC=O,24
C/C=C/CCCCCC,24
CC(C)(C)OCCCC=O,24
CCCN[C@@H](CO)CCC,24
CCNCC(C)(C)C,24
C=CN(CC)CCCC,24
C/C(=N\N(C)C)C(C)(C)C,24
CCCNCC(=O)N(C)C,24
CC(C)CCNC(C)(C)C,24
C=CCCCCN(C)C,24
CCN(C)C(=O)N(C)CC,24
CC(C)(C)OCCNN,24
COCCNCCCN,24
CCCCN(C)CC(C)C,24
CNCCCCCC(C)=O,24
CCCCOCCC(C)=O,24
COCCN(C)CCCN,24
CCNC(=O)N(CC)CC,24
CCCN(CC)CCN,24
CCCOCOCCC,24
CC(C)(C)CCCN,24
CCCNCCCCO,24
CC(=O)CCN(C)N(C)C,24
NCC(CN)(CN)CN,24
CN(CCN)CCCN,24
COC(CN(C)C)=C(C)C,24
CCCCCOCCC,24
CCCCC/C(CC)=N/C,24
C=C(C)CCC/C(C)=C/C,24
CCCC/C(CC)=N/C,24
NCCCOCCCN,24
CCCCCCNC(C)C,24
OCCCCCCCO,24
CCCC[C@H](C)[C@H](C)CC,24
CCCCC(=O)CCCO,24
CCN(CC)C(=O)CCN,24
C/C=C/CCCCCCC,24
CN(C)COC(C)(C)C,24
C#CCNCCCCCC,24
CCCCCNCCO,24
CCCCCCNC,24
CC(C)(CCO)CCO,24
CCCCC(C)(C)CCC,24
CCCCCNCC(C)C,24
CCN(C)C(=O)C(C)(C)C,24
CC/C=C/CCN(C)C,24
CC[C@H](C)[C@H](C)C(C)(C)C,24
CCC[C@H](CC)[C@H](C)CC,24
CCN(C)C(C)(C)C,24
CCC(N)(CC)CC,24
CCCCCC(C)CC,24
CCCCN(C)/C(N)=N/N,24
CCN(CC)CNC(C)=O,24
CCCCCC(=O)NCC,24
CN(C)CCOCCN,24
CCN(CC)/N=N/N(C)C,24
CCCOC(=O)C(C)(C)C,24
CN(C)CCN(C)CC=O,24
CCCN(CCC)C(N)=O,24
C=CC(=C)CCCCCC,24
CC(C)(C)OCCCO,24
CCCCC/N=C/N(C)C,24
C=C(C)CN(C)CC(=C)C,24
CC(=O)OCCC(C)(C)C,24
C=CCCCCCCN,24
CCN(C=C(C)C)CC,24
CCCO/N=C(/C)CCC,24
CC[C@H](C)CC(C)(C)C,24
CCC[C@H](C)C(C)(C)C,24
CNCCCCN(C)C=O,24
CCCCCNC[C@H](C)O,24
C=CCCOCCCCC,24
C/C=C(\CC)C(C)(C)C,24
C[C@H](CCO)NC(C)(C)C,24
CN(C)C(CO)(CO)CO,24
CC[C@H](C)N(CC)CCO,24
C=CCCCCCNC,24
CCCCNC[C@H](O)CC,24
CCCCNCC[C@H](C)O,24
CCN(CCN)CCO,24
CCCN(CC)CC,24
CCCC(=O)CCN(C)C,24
CCCCC[C@H](C)CCO,24
CCCC[C@H](C)CCCO,24
CCC/C(C)=C(\C)CC,24
CCCCCCC(C)(C)N,24
CCN(CC)CCC(C)C,24
CCOC(OCC)=C(C)C,24
CC/C=C\CN(CC)CC,24
C=CCCNC(C)(C)C,24
CC/C=C\N(CC)CC,24
C=CCN(C)CC(=C)CC,24
CC(=O)CCOC(C)(C)C,24
CCCN(CCC)C(C)C,24
CCOCN(CC)CC,24
CCC#CCCCCCO,24
CCCCN(C)C[C@H](C)O,24
CCN(CC)C/C(C)=N/O,24
C=C(C=C(C)C)C(C)(C)C,24
C=C(CCC)[C@H](C)CCC,24
CCCCNCCCCN,24
C=C(C)[C@H](CC)CCCC,24
CNCCOCCNC,24
CC[C@H](C)CCCCCO,24
C#CCOCCCCCC,24
CN(CCCN)CCCO,24
CN(C)/C=N/CCN(C)C,24
CNCCC(C)(C)C,24
CCOC/C=C/COCC,24
CN(C)CCCN=C(N)N,24
CC(C)CCCCCCN,24
C/C=C(\C)[C@H](C)C(C)(C)C,24
CCCCCN(C)C(C)C,24
CCNCCOCCN,24
C/C=C/CN(CC)CC,24
C=C(CCN)CCCC,24
CN(C)CCNCCO,24
CCN(CC)CC[C@H](C)O,24
CCCCCCN(C)N=O,24
CC/C=C/COCCCC,23
CC/C=N\N(CC)CC,23
C=C(C)COCCCC,23
C#CCC/C=C/CCCC,23
CCCCCC[C@]1(C)CO1,23
CCC1(CC)CCNCC1,23
CCCCNN(C)C,23
CCOCCOCCCN,23
CNCCCCCCC#N,23
CCCC[C@H](CO)CCC,23
CCCCC/C=C(\C)CO,23
CCC/C(C)=C/CCO,23
CCNCCNCC,23
CCCCCCCNC=O,23
CN(C)CCCCON,23
NCCCCCCNO,23
COCCNCCCO,23
CO[C@H](C)CCCCCO,23
CCCN(CCC)C(=N)N,23
CN(C)CCCCC(=O)O,23
CCCCCC[C@H](C)N,23
C=C(C)[C@H](CC)N(C)CC,23
CN(C)COOC(C)(C)C,23
COCCN(C)CCO,23
CC(C)N(C)CCN(C)C,23
CN(C)C[C@H](CO)N(C)C,23
C=C(CO)CC(C)(C)C,23
CC(C)(C)NCCN,23
C=C(C)/N=C/N(CC)CC,23
CCC(O)(CC)CC,23
CCCC(=O)C(C)(C)C,23
CCCCN(N)CC,23
C=CCCC(=O)CCCC,23
C=C(CCCCC)OC,23
CC(C)(C)[C@H](CO)CCO,23
C[C@H](N)CCCCCCO,23
CC(=O)CCCC=C(C)C,23
CC/C=C(/CCC)OC,23
NCNCNCNCN,23
CC/C=C/C/C=C/CCO,23
C=CCCCCN(C)N,23
CCN(CC)CCCC#N,23
C=C(C)CCC[C@H](C)CC,23
C/C=C/CN(N)C/C=C/C,23
CCCCCCCO,23
CCCCCCNC(C)=O,23
CCC(=O)CC(C)(C)C,23
CCCCCCC[C@@H]1CO1,23
CCCCOC(=O)CCN,23
NCCCCNCCC=O,23
CC(=O)OCCCN(C)C,23
CCC[C@H](CC)CNC,23
COCCNCCOC,23
COCCOCCCN,23
CC/C(C)=C/CCC(C)=O,23
COCC(OC)(OC)OC,23
CCCCCC/C=C/O,23
CCCN(C)N(C)C,23
C=CCCOCCCC,23
CCC(=O)OCCN(C)C,23
NCC/C=C/CCCN,23
CCCCNCCCC#N,23
CCCCCCOC,23
CC(C)=C/C=N/C(C)(C)C,23
CCCCCC#CCCO,23
CNCCCN(C)C,23
CCNCCN(C)C,23
CCC[C@H](C)COCCO,23
CNCCCCCC(=O)O,23
CCCCN(CCC)N=O,23
C=NN(CCC)CCC,23
CCN(CCO)CCO,23
CCC/C=C/CCCO,23
CCCCOCN(C)C,23
CNCC(=O)NC(C)(C)C,23
CCCCC/C=C\CC=O,23
C=CC/C=C(/O)C(C)(C)C,23
CCC/C=C/C(=O)CCC,23
CCCCCC[C@H](O)CN,23
CC[C@](C)(N)C(C)(C)C,23
C=COCCOCCCC,23
CCCCCCC(C)(C)O,23
CCCC/C=C(/C=O)CC,23
CCCC(OC)(OC)OC,23
C=CCNCCNCC=C,23
CCC/C=N/N=C/CCC,23
CCC(CC)=NCCN,23
CCCOC(=O)CCCN,23
CCCCCCCC=O,23
C=CCCC/C=C/COC,23
CCCCO[C@H](C)OCC,23
CC/C=C/CCCC(C)=O,23
CC(C)(C)C(=O)OCCN,23
CCOC(=O)CCCCN,23
CNCCCN(C)C(C)=O,23
CN(C)CC(=O)NCCN,23
CCCCCC(=O)OCC,23
CCCC/C=C(/C)OC,23
C/C=C/COCCCC,23
CCCOCN(C)C(C)=O,23
CC(C)(C)CNCCO,23
C=C(CCCC)OCC,23
CCCNCCC(=O)OC,23
OCCNCCOCCO,23
CCCC[C@H](CCC)ON,23
CCC/C=N/CCCC,23
C[C@H](O)CCCCCCO,23
C=C(OCC)C(C)(C)C,23
CC/N=N/CCCN(C)C,23
C[C@H](N)CCC(C)(C)C,23
CC/C(N)=N\CCCNC,23
CCNC(C)(C)C(C)(C)C,23
CCCCCCNN,23
COCC(CO)(CO)CO,23
C=C(N(C)C)C(C)(C)C,23
CCCCCCCOC=O,23
CCCN(N)CCC,23
CCN(CC)CC#CCN,23
COC(C)(C)CC(C)(C)C,23
CC(C)(C)CCCC=O,23
CCN(CC)CC(=O)CN,23
CCN(CC)CCNO,23
CN(C)CCCC(C)(C)N,23
CC(C)(C)COCCO,23
CNCCCCCN,23
C=C/C=C/CCCCCC,23
C=CCN(C)/N=C(/C)CC,23
CCCNCCNC,23
C=CCCC(=O)C(C)(C)C,23
CCCCO[C@H](CC)CO,23
CCCCC[C@@H]1C[C@@H]1CC,23
CCCCCCC(=O)CO,23
CCCN(CC)CCC#N,23
CCCCC[C@]1(C)C[C@@H]1C,23
CCCCCOC(=O)CC,23
C[C@H](O)CCOC(C)(C)C,23
NOCCCCCCON,23
CCCNC/C=C/CN,23
CCCCCCC[C@H](C)N,23
CC(C)(C)CCC(C)(C)O,23
CCNCCCNC(C)C,23
CN(C)CCCCC(N)=O,23
CN(C)/C=C/CN(C)C,23
CCN(CC)C(C)(C)CN,23
CCCCOC(C)(C)CC,23
CCCCN(CC)C(N)=O,23
CCCCC/C=C/C(C)=O,23
CCCCNCCC(=O)O,23
C[C@H](O)N(C)CCN(C)C,23
CCOCCC(=N)OCC,23
CCN(C)CCNC,23
CCCC[C@H](C)CCC,23
CCN(CC)OCC(C)=O,23
CCOC(=O)CCCNC,23
CCCCCNCC(N)=O,23
CCON(CC)CCCO,23
C#CCCCCCC(=C)C,23
CCN(CC)CCNC=O,23
CCCN(CC#N)CCC,23
C=CCNCCN(C)C,23
CCCN(CO)CCC,23
CCCCCC(C)(C)OC,23
CCC/C=C/CCCC=O,23
CCCC/C=C/CCO,23
CCC/C=C/CCOC,23
COCCOC(C)(C)C,23
C#CCCCCCCC,23
COCCOCOCCO,23
NCCCCCCC(=O)O,23
CCC[C@H](C)CN(C)C,23
CC[C@H](N)OCCN(C)C,23
C=C(C)CCCCCO,23
CCN(CC)N=C(C)C,23
CC(C)=CCCC=C(C)C,23
COC(=O)CCCCCN,23
C/C=C(/CO)CCCC,23
CN(CCN)CCCO,23
CCCCC[C@H](C)NC,23
COC(=O)CCCN(C)C,23
CCC(CC)=NN(C)C,23
CC/C=C/CCOCC,23
CCCCOCCC(C)C,23
C/C=C(/OC)C(C)(C)C,23
COCCC(C)(C)C,23
CCCCCCC(=N)N,23
CNCCCCNC,23
CCCCOC[C@H](O)CC,23
CCN(CC)N(C)C,23
CCCCCC(=O)CC,23
CCCCCON=C(C)C,23
C=CCCCCCCO,23
CCCN(C)CCC=N,23
CN(C)CCC(=O)N(C)C,23
CCCCCC(C)(C)CO,23
CCON(CC)CCO,23
CCOCCNCCO,23
CCCC[C@](O)(CC)CO,23
CNC(=O)N(C)CCCN,23
CCNCCOCCO,23
CCN(CC)C(=O)COC,23
C=C(CC)CCCCO,23
CC(C)(C)OOCCCO,23
CCCOCCOCC,23
CCN(CC)C(=O)CNN,23
CNC[C@H](C)C(C)(C)C,23
CCN(C)CCCN,23
CC(C)(C)CCNN,23
CC(C)=CC/C(C)=C/CO,23
CCCCCOCOC,23
CCCC(=O)N(CC)CC,23
OCCOCCOCCO,23
CC/C=C/CC/C=C/CC,23
CC(C)CCN(C)CCN,23
CC(C)(C)C#CCCCO,23
CCCC/C(=C/O)CC,23
CN(C)NCCNN(C)C,23
CCCCCC[C@]1(C)CN1,23
C=COCCC(C)(C)C,23
CCCCCCNCC#N,23
CCCCO[C@H](C)COC,23
C=CCCCCCCC=O,23
CCCCCO[C@H](C)OC,23
CC(C)(C)OCCCN,23
COCCCNCCO,23
CC(C)CCCCCCO,23
CCN(CC)CCN,23
CCCCCC[C@H](C)CC,23
CC(=O)NCCNCCN,23
CCN(CCN)CC(C)C,23
CC(C)(N)CNC(C)(C)C,23
CC(C)(C)CCCO,23
CCCCOCCCOC,23
CN(C)CC(C)(C)N(C)C,23
CCCCCCN1CC1,23
CCCCOCCC,23
CCCCC/C=C/CO,23
CCC(CC)(CC)OO,23
CCN=C(N(C)C)N(C)C,23
